brand,rating_avg
2 in 1 Space Rocket,4.777777777777778
2-Glow,4.666666666666667
3M,3.875
4D Cityscape,4.214285714285714
4M,4.275
4Thought Products LLC,4.142857142857143
5K,3.7
A Birthday Place,4.769230769230769
AA,4.555555555555555
AB Gee,4.75
ACD Distribution,4.5625
AEG,4.585858585858586
AM INC,4.375
Abco Tech,4.5
Abong,4.571428571428571
Accessories And Parts,4.769230769230769
Accessory Sonic,4.0
Accoutrements,4.451612903225806
Ace Bayou,4.166666666666667
Adora,4.1911764705882355
Adventure Time,4.433333333333334
Aeromax,3.933333333333333
Air Hunterz,4.666666666666667
Air Warriors,3.6153846153846154
Alderac Entertainment Group,4.4714285714285715
Alex Toys,4.3009287925696595
Alexander Doll,4.38
"All Things Equal, Inc.",4.055555555555555
Alliance Games,4.741935483870968
Always Under,4.8
Amazing Loom Bands,3.8333333333333335
Ambi Toys,4.666666666666667
American Balloon Company,4.8
American Girl,3.3333333333333335
American Girl Crafts,4.282051282051282
American Hometex,3.8333333333333335
American Plastic Toy,3.832
American Plastic Toys,4.145833333333333
American Science &amp; Surplus,4.379310344827586
Amscan,4.258823529411765
Anagram,4.75
Anatex,4.111111111111111
Angry Birds,4.515657620041754
Angry birds,4.875
Anki,4.4411764705882355
Anya&#39;s Collections,4.157894736842105
Aquapets,3.6
Aquarius,4.2
Arbor Toys,1.5714285714285714
Arcane Wonders,4.375
Army,4.2
Army Military Rifle,4.25
Arnold the Snoring Pig by Gundfun,4.6
Around the Table Games,4.333333333333333
ArtSee Studio,3.730769230769231
Artistic Studios Ltd.,4.333333333333333
Artterro,3.625
As Seen On TV,2.8333333333333335
Ashley Productions,4.6
Asmadi Games,4.119047619047619
Asmodee,4.547884187082405
Atlas,4.488372093023256
Aurora,4.264150943396227
Aurora Plush,4.586206896551724
Aurora Plush Snowy Flopsie - 12&quot;,4.833333333333333
Aurora World,4.6893939393939394
Aurora World Inc,4.8
"Aurora World, Inc.",4.6923076923076925
Automoblox,4.62
Avalon Hill,4.5
Avengers,4.142857142857143
Avner-Toys,3.880952380952381
B.,4.493288590604027
B. Toys,4.333333333333333
BANANA,4.4
BATTLESHIP,4.571428571428571
BCW,4.333333333333333
BELKIN,4.4
BLUECELL,4.5
BOGGLE,3.8461538461538463
BOOMCO,4.128205128205129
BOP-IT,4.325581395348837
BWacky,4.333333333333333
Baby Alive,4.05
Baby Cakes,3.875
Baby Gund,4.454545454545454
Baby Love,4.0
Bachmann Trains,4.2
Backyard Safari,4.444444444444445
Badger Basket,4.362637362637362
Bakery Crafts,4.222222222222222
Ball Bounce and Sport TOYS,4.5
"Ball, Bounce &amp; Sport",4.196428571428571
Balloon Supply Of America,4.0
Bally Hoo,4.25
Bam Launcher,4.363636363636363
Bananagrams,4.652631578947369
Bandai,4.616766467065868
Banpresto,3.1666666666666665
Banzai,3.1
Barbie,4.123287671232877
Barney and Friends,4.142857142857143
Basic Beat,4.875
Basic Fun,4.32258064516129
Batman,4.666666666666667
Battat,4.454005934718101
Be Amazing! Toys,3.672514619883041
Be Good Company,3.888888888888889
Beanie Babies,4.636363636363637
BeginAgain,4.59375
Beistle,4.0
Beleduc,4.72
Ben 10,3.9743589743589745
Bendaroos,2.85
Bendon Publishing,4.6875
Bendon Publishing International,4.8
Bepuzzled,4.428571428571429
Berenguer Dolls,4.363636363636363
Beverly Hills Teddy Bear,3.6470588235294117
Beyblade,3.59375
Bicycle,4.590909090909091
Bif Bang Pow!,3.6
Big Mouth Toys,3.9166666666666665
Big Time Toys,3.8085106382978724
Bigjigs Toys,4.625
Billy Bob Teeth,4.583333333333333
BirthdayExpress,4.181818181818182
Bitty Buttons,3.857142857142857
Black &amp; Decker,4.455882352941177
Blade,4.4186046511627906
Blast Zone,4.615384615384615
Blingles,3.923076923076923
Blip,3.5
Blip Toys,4.388888888888889
Bloco Toys,3.761904761904762
Bloco Toys inc.,4.029411764705882
BluTrack,3.933333333333333
Blue Box,3.896551724137931
Blue Orange,4.629815745393635
Blue Syma S107/S107G,4.4
Bluw,3.6
Bonkazonks,2.53125
Bontempi,4.3
Boon,3.2222222222222223
Bossa Nova,3.0
Bounceland,4.923076923076923
Boutique Cutie,4.4
Box Creations,4.75
Brainwright,3.75
Brainydeal,4.4
Bratz,4.5
Bratzillaz,3.9318181818181817
Breyer,4.117647058823529
Briar Patch,4.081081081081081
"Briarpatch, Maisy",5.0
Brio,4.414141414141414
Brooklyn Peddler,4.7
Brookstone,4.666666666666667
Brotherwise Games,4.2
Bruder,4.605042016806722
Bruder Toys,4.5016501650165015
Buffalo Games,4.105263157894737
Bundle by Totes by Design,5.0
BusBoard Prototype Systems,4.333333333333333
Buy_Stuff_Here_Looms!,4.263736263736264
Buys By Bella,4.5
Buzz Bee,4.111111111111111
C &amp; A Scientific,4.666666666666667
C&amp;A Scientific,4.488372093023256
CAH,4.7272727272727275
CASDON,3.9504950495049505
CHH,3.8947368421052633
CHH Quality Product,4.428571428571429
CSL,3.0
CX Blaster,4.555555555555555
Caillou,4.3125
Calego,4.764705882352941
Calico Critters,4.624633431085044
Calliope Games,4.559322033898305
Camelio,3.375
Can You Imagine,4.461538461538462
Captain america,3.872093023255814
Cardinal,4.291666666666667
Cardinal Industries,4.230769230769231
Cards vs. Dice,4.0
Care Bears - Vending toys,4.5
Carol Wright Gifts,4.473684210526316
Carpatina Dolls,4.8
Carrie,3.8
Carrom,4.5
Cars 2,5.0
Cars 2 Movie,4.857142857142857
Carson-Dellosa,4.583333333333333
Cartamundi,4.2
Casdon - Little Helper,2.8333333333333335
Castle Toy,4.625
Cat in the Hat,4.2
Catan Boards,4.625
Cats Meow Yellow Undercover Fabric Moving Mouse Cat Play Cat&#39;s Toy As Seen on Tv,3.1666666666666665
CelebrateExpress,3.8
Century,4.777777777777778
Century Novelty,3.8541666666666665
Cepia,4.8
Cepia LLC,2.761904761904762
Champion Sports,5.0
Chantilly Lane,4.666666666666667
Character Options,5.0
Character-Online,4.0
Chenille Kraft,4.568627450980392
Chessex,4.661157024793388
Chicco,4.409090909090909
Chinaoutlet,4.333333333333333
Cinema Secrets,4.8
Citiblocs,4.0
Clean Cubes,3.92
Clue,3.2
Coins of America,5.0
Collections Etc,3.962962962962963
Color My Bath,4.576470588235294
Color Splasherz,3.5454545454545454
Colorbok,4.090909090909091
Colorflame,5.0
Colorforms,3.3333333333333335
Colorku,4.818181818181818
Combat 3 Gun,4.0
Comic Images,4.6
Commonwealth Toys,5.0
Company 81,4.916666666666667
ComputerGear,4.333333333333333
Conceptual Math Media,4.6
Conductor Carl,5.0
Connect 4,4.166666666666667
Constructive Playthings,4.7592592592592595
Cool City Trading,3.7142857142857144
CoolGlow,3.8
Corolle,4.6422018348623855
